	2016_1	2016_3	2016_2	2016_4	2017_2	2017_1	2017_3	2017_4	2017_5	2017_6	2017_7	2017_8
2016_1	0.0	0.299838176893	0.151645900803	0.237110245043	0.356331348102	0.305246171371	0.71460258931	0.277919056092	0.221437047087	0.509651162095	0.309804043481	0.306320201804
2016_3	0.299838176893	0.0	0.224144103237	0.247193330787	0.325005709507	0.308145074723	0.783120208781	0.306918130572	0.344138349111	0.376640413506	0.408313001531	0.392420665318
2016_2	0.151645900803	0.224144103237	0.0	0.176320511808	0.355328668207	0.32142857281	0.735492405419	0.274139835229	0.241358001287	0.499295518734	0.314114337317	0.322682755684
2016_4	0.237110245043	0.247193330787	0.176320511808	0.0	0.358356824094	0.321584384785	0.738793008633	0.279723892421	0.243017578384	0.485618357329	0.269300277254	0.274270315441
2017_2	0.356331348102	0.325005709507	0.355328668207	0.358356824094	0.0	0.145272322857	0.637942115775	0.191537398866	0.265483726588	0.287623273493	0.271044497335	0.318995855881
2017_1	0.305246171371	0.308145074723	0.32142857281	0.321584384785	0.145272322857	0.0	0.677634050792	0.139815151112	0.21521988503	0.325328043303	0.233767171852	0.296558204405
2017_3	0.71460258931	0.783120208781	0.735492405419	0.738793008633	0.637942115775	0.677634050792	0.0	0.685973420868	0.706532197333	0.720843375706	0.694643601421	0.74490712662
2017_4	0.277919056092	0.306918130572	0.274139835229	0.279723892421	0.191537398866	0.139815151112	0.685973420868	0.0	0.174775308391	0.369522116378	0.174969345126	0.292132396243
2017_5	0.221437047087	0.344138349111	0.241358001287	0.243017578384	0.265483726588	0.21521988503	0.706532197333	0.174775308391	0.0	0.435944028385	0.188147574965	0.251445333928
2017_6	0.509651162095	0.376640413506	0.499295518734	0.485618357329	0.287623273493	0.325328043303	0.720843375706	0.369522116378	0.435944028385	0.0	0.427830076117	0.43978265636
2017_7	0.309804043481	0.408313001531	0.314114337317	0.269300277254	0.271044497335	0.233767171852	0.694643601421	0.174969345126	0.188147574965	0.427830076117	0.0	0.273906494907
2017_8	0.306320201804	0.392420665318	0.322682755684	0.274270315441	0.318995855881	0.296558204405	0.74490712662	0.292132396243	0.251445333928	0.43978265636	0.273906494907	0.0
