# Constructed from biom file
#OTU ID	2016_1	2016_3	2016_2	2016_4	2017_2	2017_1	2017_3	2017_4	2017_5	2017_6	2017_7	2017_8
k__Archaea;p__Crenarchaeota;c__MBGA;o__NRP-J	0.0	0.0	1.03478748569e-06	0.0	9.14058401019e-07	0.0	0.0	0.0	1.67340771073e-06	5.89506200131e-06	0.0	9.28880281265e-07
k__Archaea;p__Crenarchaeota;c__MCG;o__pGrfC26	1.40140420702e-06	0.0	4.13914994278e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales	2.10210631052e-06	0.0	1.03478748569e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales	0.0550184284653	0.0259102367194	0.0358967778787	0.0353938480583	0.0225872971476	0.0274826691098	0.0033247019879	0.0167174961239	0.0191638651033	0.00629494370707	0.0218947862652	0.0544936905807
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	1.19119357596e-05	1.2724799489e-06	7.03655490272e-05	0.0	9.14058401019e-07	0.0	0.0	0.0	0.0	0.0	1.38093890036e-06	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanocellales	0.0	1.2724799489e-06	1.03478748569e-06	0.0	0.0	0.0	1.44176148651e-06	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales	3.50351051754e-06	0.0	4.13914994278e-06	0.0	0.0	0.0	0.0	1.1358537929e-06	0.0	0.0	0.0	9.28880281265e-07
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales	1.12112336561e-05	1.2724799489e-06	2.48348996567e-05	2.6911380823e-06	0.0	0.0	1.44176148651e-06	1.1358537929e-06	0.0	0.0	2.76187780072e-06	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2	3.50351051754e-06	0.0	4.13914994278e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__[Parvarchaeota];c__[Micrarchaea];o__[Micrarchaeles]	1.40140420702e-06	0.0	0.0	0.0	6.39840880714e-05	1.22156054359e-06	0.0	0.0	0.0	0.0	1.79522057047e-05	0.0
