Feature ID	Test stat.	pval	pval_fdr	pval_bon	taxonomy
1123057	-0.929320377285	7.04392523523e-07	0.0109209016847	0.0109209016847	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__EB1017; g__; s__
1126447	-0.907351201492	5.70649337523e-06	0.026585667998	0.0884734732895	k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__
211922	-0.906745793221	5.99016433611e-06	0.026585667998	0.0928715078671	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae; g__; s__
109707	-0.905028686328	6.85904747111e-06	0.026585667998	0.106342671992	k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__WD2101; f__; g__; s__
4452696	-0.899491710342	1.04015957752e-05	0.0321284561273	0.161266340898	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__
207216	-0.893171247131	1.61658414062e-05	0.0321284561273	0.250635205162	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__
226277	-0.892027048845	1.7446908889e-05	0.0321284561273	0.270496875415	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__; s__
999784	-0.891889954089	1.76058387883e-05	0.0321284561273	0.272960924573	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__; s__
4361763	-0.888937450111	2.13280218887e-05	0.0321284561273	0.330669651362	k__Bacteria; p__OP3; c__koll11; o__GIF10; f__kpj58rc; g__; s__
4346541	-0.887724762865	2.30326595217e-05	0.0321284561273	0.357098353224	k__Bacteria; p__Acidobacteria; c__Acidobacteria-5; o__; f__; g__; s__
1105745	-0.886306374406	2.51663269541e-05	0.0321284561273	0.390178733096	k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Ellin5290; f__; g__; s__
944197	-0.883095519685	3.05975777476e-05	0.0321284561273	0.474384845399	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Herminiimonas; s__
