Feature ID	Test stat.	pval	pval_fdr	pval_bon
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	-0.86013986014	0.000103751810512	0.0187790777026	0.0187790777026
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria	-0.804195804196	0.000864933872506	0.0782765154617	0.156553030923
k__Bacteria;p__Chloroflexi;c__TK10	-0.783216783217	0.0015727465051	0.0948890391412	0.284667117424
k__Bacteria;p__Actinobacteria;c__Thermoleophilia	-0.72027972028	0.00643642014088	0.220810183544	1.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	0.713286713287	0.00732865147954	0.220810183544	1.0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	0.713286713287	0.00732865147954	0.220810183544	1.0
k__Bacteria;p__TM7;c__TM7-3	0.70473790759	0.00853962035805	0.220810183544	1.0
k__Bacteria;p__Armatimonadetes;c__SJA-176	-0.6901579589	0.0109349120025	0.247402384056	1.0
k__Bacteria;p__Acidobacteria;c__TM1	-0.657342657343	0.0180612637925	0.363232082939	1.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	0.643356643357	0.0219264355754	0.378925723131	1.0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia	-0.639692501115	0.0230286351074	0.378925723131	1.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	0.615384615385	0.0313480214992	0.472832657613	1.0
k__Bacteria;p__Chloroflexi;c__	-0.605955395113	0.0350729619565	0.48832354724	1.0
k__Bacteria;p__Verrucomicrobia;c__[Methylacidiphilae]	-0.594405594406	0.0400382641998	0.517637558584	1.0
k__Bacteria;p__Acidobacteria;c__iii1-8	-0.58041958042	0.046669682065	0.563147496918	1.0
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria]	-0.552447552448	0.0620845468878	0.702331436668	1.0
k__Bacteria;p__Armatimonadetes;c__OPB50	-0.541557963864	0.0689003731746	0.713187379804	1.0
k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes	-0.538461538462	0.0709247118037	0.713187379804	1.0
k__Bacteria;p__GN02;c__GN07	-0.510678887445	0.0908476483965	0.737172657073	1.0
