Feature ID	Test stat.	pval	pval_fdr	pval_bon
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__	-0.853146853147	0.000143063451806	0.0520750964574	0.0520750964574
k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia];o__[Fimbriimonadales]	-0.783216783217	0.0015727465051	0.163667751949	0.572479727857
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales	-0.776223776224	0.0018874239514	0.163667751949	0.687022318308
k__Bacteria;p__Acidobacteria;c__TM1;o__	-0.769230769231	0.00224818340589	0.163667751949	0.818338759745
k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales	-0.769230769231	0.00224818340589	0.163667751949	0.818338759745
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	-0.727272727273	0.00562735163475	0.341392665841	1.0
k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__AKYG1722	0.697945849933	0.00960171314323	0.499289083448	1.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__	-0.678321678322	0.0132122518968	0.534362187828	1.0
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales	-0.678321678322	0.0132122518968	0.534362187828	1.0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales	-0.639692501115	0.0230286351074	0.838242317909	1.0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	0.622377622378	0.0287695463686	0.864017311174	1.0
k__Bacteria;p__Verrucomicrobia;c__[Methylacidiphilae];o__S-BQ2-57	-0.622377622378	0.0287695463686	0.864017311174	1.0
k__Bacteria;p__Armatimonadetes;c__SJA-176;o__	-0.61158754648	0.0328132545946	0.864017311174	1.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5;o__	-0.58041958042	0.046669682065	0.864017311174	1.0
k__Bacteria;p__FCPU426;c__;o__	-0.569982951482	0.0520774736784	0.864017311174	1.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanocellales	0.569094809484	0.0525562628072	0.864017311174	1.0
k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales	-0.566433566434	0.0540086114286	0.864017311174	1.0
k__Bacteria;p__Chloroflexi;c__TK10;o__B07_WMSP1	-0.566433566434	0.0540086114286	0.864017311174	1.0
k__Bacteria;p__Chloroflexi;c__Thermomicrobia;o__JG30-KF-CM45	0.559440559441	0.0579526971128	0.864017311174	1.0
k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Pla1	-0.559440559441	0.0579526971128	0.864017311174	1.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__	0.559440559441	0.0579526971128	0.864017311174	1.0
