	2016_1	2016_3	2016_2	2016_4	2017_2	2017_1	2017_3	2017_4	2017_5	2017_6	2017_7	2017_8
2016_1	0.0	0.397664188617	0.306488720952	0.406110561561	0.408229045753	0.429027488514	0.511891771008	0.410402071095	0.423806076841	0.525207802113	0.425214411494	0.400799976843
2016_3	0.397664188617	0.0	0.354107203833	0.336866920722	0.424899866212	0.399416162878	0.508024253577	0.38069444119	0.418407043055	0.452867058909	0.399987730931	0.420149788866
2016_2	0.306488720952	0.354107203833	0.0	0.374892844082	0.396803300517	0.410942960612	0.510852590379	0.380148737804	0.401615568603	0.494273720808	0.400783877635	0.386446469272
2016_4	0.406110561561	0.336866920722	0.374892844082	0.0	0.465050536439	0.427625048154	0.520196556587	0.415900782788	0.40482562836	0.500687073232	0.397011226835	0.415486984708
2017_2	0.408229045753	0.424899866212	0.396803300517	0.465050536439	0.0	0.326679124734	0.42639960996	0.309060746937	0.367021048098	0.430653491626	0.383953414742	0.360524334638
2017_1	0.429027488514	0.399416162878	0.410942960612	0.427625048154	0.326679124734	0.0	0.44012477319	0.305194922232	0.361314217634	0.413911644535	0.35384129647	0.365475413535
2017_3	0.511891771008	0.508024253577	0.510852590379	0.520196556587	0.42639960996	0.44012477319	0.0	0.444533800195	0.47514089239	0.509912561617	0.471753872126	0.483237510619
2017_4	0.410402071095	0.38069444119	0.380148737804	0.415900782788	0.309060746937	0.305194922232	0.444533800195	0.0	0.330604037994	0.402572649803	0.337751217105	0.33974742185
2017_5	0.423806076841	0.418407043055	0.401615568603	0.40482562836	0.367021048098	0.361314217634	0.47514089239	0.330604037994	0.0	0.464997352849	0.33857769526	0.338744941135
2017_6	0.525207802113	0.452867058909	0.494273720808	0.500687073232	0.430653491626	0.413911644535	0.509912561617	0.402572649803	0.464997352849	0.0	0.469505596087	0.456458621096
2017_7	0.425214411494	0.399987730931	0.400783877635	0.397011226835	0.383953414742	0.35384129647	0.471753872126	0.337751217105	0.33857769526	0.469505596087	0.0	0.333891497902
2017_8	0.400799976843	0.420149788866	0.386446469272	0.415486984708	0.360524334638	0.365475413535	0.483237510619	0.33974742185	0.338744941135	0.456458621096	0.333891497902	0.0
