	2016_1	2016_3	2016_2	2016_4	2017_2	2017_1	2017_3	2017_4	2017_5	2017_6	2017_7	2017_8
2016_1	0.0	0.170082876707	0.0694028946619	0.0850948977553	0.244107021872	0.204764615615	0.504090595904	0.186710602278	0.127307826775	0.206803368869	0.204846770447	0.207851447579
2016_3	0.170082876707	0.0	0.158064990234	0.179703241046	0.253602045366	0.21189266671	0.614840664511	0.222125480953	0.218415350863	0.177476224846	0.300099936829	0.341139305336
2016_2	0.0694028946619	0.158064990234	0.0	0.0929433310552	0.272890906872	0.232694625905	0.531512736364	0.214409686919	0.159831873225	0.228720650255	0.238472749722	0.251149239545
2016_4	0.0850948977553	0.179703241046	0.0929433310552	0.0	0.240037075346	0.212511361191	0.471336914046	0.205229226079	0.130228871475	0.205354297983	0.194510312532	0.196051572412
2017_2	0.244107021872	0.253602045366	0.272890906872	0.240037075346	0.0	0.0566302660943	0.368689713145	0.0852395686175	0.149180341338	0.119288227567	0.0891473457675	0.207276515009
2017_1	0.204764615615	0.21189266671	0.232694625905	0.212511361191	0.0566302660943	0.0	0.416893663511	0.0632301076431	0.128049324874	0.100709553993	0.11463824171	0.215777159876
2017_3	0.504090595904	0.614840664511	0.531512736364	0.471336914046	0.368689713145	0.416893663511	0.0	0.403522069956	0.421011062008	0.466421669432	0.347398576998	0.392680211781
2017_4	0.186710602278	0.222125480953	0.214409686919	0.205229226079	0.0852395686175	0.0632301076431	0.403522069956	0.0	0.0902878684033	0.121493674582	0.107167637392	0.21882359874
2017_5	0.127307826775	0.218415350863	0.159831873225	0.130228871475	0.149180341338	0.128049324874	0.421011062008	0.0902878684033	0.0	0.145351978616	0.0876200840828	0.178962823704
2017_6	0.206803368869	0.177476224846	0.228720650255	0.205354297983	0.119288227567	0.100709553993	0.466421669432	0.121493674582	0.145351978616	0.0	0.184435070767	0.251298592975
2017_7	0.204846770447	0.300099936829	0.238472749722	0.194510312532	0.0891473457675	0.11463824171	0.347398576998	0.107167637392	0.0876200840828	0.184435070767	0.0	0.151588556495
2017_8	0.207851447579	0.341139305336	0.251149239545	0.196051572412	0.207276515009	0.215777159876	0.392680211781	0.21882359874	0.178962823704	0.251298592975	0.151588556495	0.0
