# Constructed from biom file
#OTU ID	2016_1	2016_3	2016_2	2016_4	2017_2	2017_1	2017_3	2017_4	2017_5	2017_6	2017_7	2017_8
k__Archaea;p__Crenarchaeota;c__MBGA	0.0	0.0	1.03478748569e-06	0.0	9.14058401019e-07	0.0	0.0	0.0	1.67340771073e-06	5.89506200131e-06	0.0	9.28880281265e-07
k__Archaea;p__Crenarchaeota;c__MCG	1.40140420702e-06	0.0	4.13914994278e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota	0.0550205305716	0.0259102367194	0.0358978126662	0.0353938480583	0.0225872971476	0.0274826691098	0.0033247019879	0.0167174961239	0.0191638651033	0.00629494370707	0.0218947862652	0.0544936905807
k__Archaea;p__Euryarchaeota;c__Methanobacteria	1.19119357596e-05	1.2724799489e-06	7.03655490272e-05	0.0	9.14058401019e-07	0.0	0.0	0.0	0.0	0.0	1.38093890036e-06	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia	1.47147441737e-05	2.54495989779e-06	3.00088370851e-05	2.6911380823e-06	0.0	0.0	2.88352297303e-06	2.2717075858e-06	0.0	0.0	2.76187780072e-06	9.28880281265e-07
k__Archaea;p__Euryarchaeota;c__Thermoplasmata	3.50351051754e-06	0.0	4.13914994278e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__[Parvarchaeota];c__[Micrarchaea]	1.40140420702e-06	0.0	0.0	0.0	6.39840880714e-05	1.22156054359e-06	0.0	0.0	0.0	0.0	1.79522057047e-05	0.0
k__Archaea;p__[Parvarchaeota];c__[Parvarchaea]	0.0	4.9626718007e-05	7.24351239986e-06	1.61468284938e-05	6.76403216754e-05	1.95449686975e-05	1.44176148651e-06	4.5434151716e-05	3.34681542146e-06	0.0	8.28563340215e-06	2.41508873129e-05
k__Bacteria;p__;c__	0.000208108524742	7.76212768827e-05	0.000258696871424	0.000139939180279	8.50074312948e-05	0.000342036952206	2.73934682438e-05	0.000222627343408	0.000468554159004	2.94753100066e-06	0.000182283934847	0.000108678992908
k__Bacteria;p__AC1;c__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.67340771073e-06	0.0	0.0	0.0
k__Bacteria;p__AD3;c__ABS-6	0.0	3.81743984669e-06	3.10436245708e-06	0.0	0.0	3.66468163078e-06	0.0	2.2717075858e-06	0.0	4.12654340092e-05	0.0	0.0
k__Bacteria;p__AD3;c__JG37-AG-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.93004133421e-06	0.0	0.0
k__Bacteria;p__Acidobacteria;c__	0.0021182224589	0.00283508532614	0.00249073347807	0.00732258672192	0.00162428177861	0.0029170865781	7.06463128392e-05	0.00253749737334	0.00166671407989	0.000278050424395	0.00743773691733	0.00410193532207
k__Bacteria;p__Acidobacteria;c__AT-s54	0.000248749246745	0.000167967353254	0.000206957497139	0.000247584703571	0.000117913533731	4.03114979386e-05	1.00923304056e-05	8.97324496391e-05	6.86097161399e-05	6.77932130151e-05	2.34759613061e-05	5.10884154696e-05
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5	0.00518169205544	0.00473871532969	0.00885260694011	0.00892650501897	0.0103864456108	0.011474118186	0.000830454616232	0.0126988454046	0.0101692986581	0.0125053915255	0.01230692748	0.00793077984144
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6	0.262363187914	0.278852528481	0.306932455282	0.266374229662	0.100499807134	0.131295770347	0.0100274511387	0.164971404881	0.17434565575	0.0819167990599	0.120727202425	0.136973615156
k__Bacteria;p__Acidobacteria;c__Acidobacteriia	9.45947839735e-05	0.00134119386614	0.000642603028616	4.84404854813e-05	0.00312699378989	0.00307344632768	0.0139764358503	0.00227397929339	0.000215869594684	0.0753555950525	8.28563340215e-06	3.52974506881e-05
k__Bacteria;p__Acidobacteria;c__BPC102	0.00144905195005	0.00113886955426	0.00113309229683	0.0016415942302	0.000632528413505	0.000630325240495	4.7578129055e-05	0.000460020786124	0.00130525801437	0.000100216054022	0.00149831870689	0.00199244820331
k__Bacteria;p__Acidobacteria;c__DA052	0.00032162226551	0.00229046390801	0.000924065224725	0.000212599908501	0.00156486798255	0.00134860284013	5.47869364875e-05	0.00103021939016	0.00055222454454	0.0214590081951	0.000331425336086	0.000367836591381
k__Bacteria;p__Acidobacteria;c__EC1113	0.00166626960214	0.000283763028604	0.000667437928273	0.000376759331521	0.000267819111499	0.000283402046114	4.32528445954e-06	0.000189687583414	0.000548877729119	0.000455884794768	0.000237521490862	0.000714308936293
k__Bacteria;p__Acidobacteria;c__GAL08	0.0	0.0	0.0	0.0	1.82811680204e-06	0.0	0.0	0.0	1.00404462644e-05	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Holophagae	7.00702103508e-07	3.81743984669e-06	0.0	0.0	9.14058401019e-07	0.0	0.0	1.1358537929e-06	0.0	4.32304546763e-05	0.0	0.0
k__Bacteria;p__Acidobacteria;c__OS-K	0.0	0.0	1.03478748569e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__PAUC37f	0.00665316647281	0.0019647090411	0.00664540523313	0.00562716973008	0.00470922888205	0.00544571690334	0.000299886389195	0.00469107616468	0.0085795613329	0.00124385808228	0.00470209695572	0.0121562562409
k__Bacteria;p__Acidobacteria;c__RB25	0.00230040500582	0.00802934847754	0.00485936203282	0.00997874000915	0.00415439543263	0.0067222476714	0.000198963085139	0.0112585827952	0.00683587049832	0.00132442392963	0.0176525419633	0.00800973466535
k__Bacteria;p__Acidobacteria;c__S035	0.000906007819835	0.000848744125914	0.000698481552843	0.000737371834549	0.0008071135681	0.0007817987479	6.77627898661e-05	0.000461156639917	0.00080490910886	0.00016309671537	0.00061589874956	0.00147877740777
k__Bacteria;p__Acidobacteria;c__Solibacteres	0.00135375646398	0.000198506872028	0.000835073500955	0.000702387039479	0.00481982994858	0.00533455489388	0.00160035525003	0.00356998847108	0.001278483491	0.0146521766043	0.00331701523866	0.00261944239317
k__Bacteria;p__Acidobacteria;c__Sva0725	0.00112322547192	0.00071513373128	0.00152941590386	0.00143168545978	0.0015246494129	0.000665750496259	0.00153835950611	0.0013119111308	0.00220220454732	9.13734610204e-05	0.00234069143611	0.00200823916809
k__Bacteria;p__Acidobacteria;c__TM1	1.89189567947e-05	4.83542380581e-05	2.89740495994e-05	5.38227616459e-05	6.12419128683e-05	0.000153916628493	0.0	5.33851282663e-05	2.51011156609e-05	0.000348791168411	9.52847841247e-05	6.87371408136e-05
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria]	0.0588253429937	0.0471886464249	0.0521056890546	0.0346564762238	0.0530007623247	0.0514105970377	0.00398502874872	0.0475332095253	0.0713122695927	0.029773993148	0.0272293532373	0.0261340467134
k__Bacteria;p__Acidobacteria;c__iii1-8	0.00280841403086	0.0068052227667	0.00676233621901	0.00537151161226	0.00556570160381	0.00464070850512	0.000749715972987	0.00533624111904	0.00548877729119	0.0104912453417	0.00440243321434	0.00305694500564
k__Bacteria;p__Actinobacteria;c__	0.0	0.0	1.03478748569e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Acidimicrobiia	0.00663705032443	0.00795554464051	0.0121587529569	0.0203611507306	0.0108507872785	0.0134298366163	0.00563728741227	0.0108530829912	0.0170687586494	0.0125584470835	0.026719786783	0.0324355705415
k__Bacteria;p__Actinobacteria;c__Actinobacteria	0.0162443768656	0.00424117566967	0.0249632133049	0.0272746844641	0.0344508611344	0.0233965490915	0.101400527108	0.0215210218141	0.0151627472669	0.0304106598441	0.0237121018581	0.0357656063498
